GameWinner;GameNumber;RoundCount
RandomAI;1;37
AI;2;47
AI;3;42
AI;4;44
RandomAI;5;42
RandomAI;6;47
RandomAI;7;46
AI;8;48
AI;9;46
RandomAI;10;45
AI;11;45
RandomAI;12;39
RandomAI;13;47
AI;14;49
AI;15;43
AI;16;46
AI;17;48
RandomAI;18;42
AI;19;44
RandomAI;20;48
AI;21;46
RandomAI;22;48
RandomAI;23;42
RandomAI;24;47
AI;25;48
AI;26;47
AI;27;48
RandomAI;28;47
AI;29;44
AI;30;48
RandomAI;31;43
AI;32;49
AI;33;44
RandomAI;34;42
AI;35;44
AI;36;46
AI;37;49
AI;38;48
RandomAI;39;47
AI;40;49
AI;41;45
RandomAI;42;42
AI;43;43
AI;44;35
AI;45;46
RandomAI;46;45
AI;47;47
RandomAI;48;49
RandomAI;49;48
RandomAI;50;46
RandomAI;51;44
AI;52;48
AI;53;49
RandomAI;54;44
AI;55;49
RandomAI;56;43
AI;57;48
RandomAI;58;44
AI;59;49
RandomAI;60;49
RandomAI;61;48
AI;62;43
AI;63;43
RandomAI;64;48
RandomAI;65;40
AI;66;48
AI;67;47
RandomAI;68;45
AI;69;48
AI;70;43
RandomAI;71;49
AI;72;49
AI;73;44
RandomAI;74;34
AI;75;46
AI;76;41
AI;77;49
RandomAI;78;47
AI;79;39
AI;80;48
AI;81;40
RandomAI;82;49
RandomAI;83;49
RandomAI;84;40
AI;85;49
AI;86;49
AI;87;42
RandomAI;88;45
RandomAI;89;43
RandomAI;90;47
AI;91;48
AI;92;48
RandomAI;93;45
RandomAI;94;37
AI;95;49
RandomAI;96;46
AI;97;45
AI;98;44
RandomAI;99;48
RandomAI;100;47
AI;101;44
AI;102;46
AI;103;49
RandomAI;104;44
AI;105;45
RandomAI;106;40
RandomAI;107;45
AI;108;47
AI;109;48
AI;110;42
RandomAI;111;41
AI;112;47
RandomAI;113;49
RandomAI;114;44
RandomAI;115;44
RandomAI;116;43
AI;117;47
;;
AI wint;;Ran wint
65;;52
