GameWinner;GameNumber;RoundCount
AI;1;13
AI;2;25
AI;3;28
AI;4;24
AI;5;36
RandomAI;6;56
AI;7;29
AI;8;29
AI;9;17
AI;10;14
AI;11;11
AI;12;37
AI;13;12
AI;14;15
AI;15;12
AI;16;25
AI;17;12
AI;18;13
AI;19;21
AI;20;16
AI;21;34
AI;22;9
AI;23;21
AI;24;37
AI;25;54
AI;26;29
AI;27;28
AI;28;20
AI;29;34
AI;30;23
AI;31;16
AI;32;15
AI;33;25
AI;34;16
AI;35;15
AI;36;10
AI;37;9
AI;38;44
AI;39;28
AI;40;19
AI;41;16
AI;42;29
AI;43;11
AI;44;22
AI;45;21
AI;46;21
AI;47;13
AI;48;13
AI;49;15
AI;50;24
AI;51;17
AI;52;27
AI;53;19
AI;54;13
AI;55;20
AI;56;19
AI;57;49
AI;58;36
AI;59;9
AI;60;17
AI;61;34
AI;62;15
AI;63;10
AI;64;24
AI;65;13
AI;66;16
AI;67;13
AI;68;14
AI;69;15
AI;70;12
AI;71;26
AI;72;18
AI;73;37
AI;74;16
AI;75;15
AI;76;23
AI;77;11
AI;78;19
AI;79;15
AI;80;36
AI;81;24
AI;82;18
AI;83;44
AI;84;11
AI;85;46
AI;86;32
AI;87;43
AI;88;30
AI;89;49
AI;90;44
AI;91;42
AI;92;17
AI;93;23
AI;94;22
AI;95;10
AI;96;36
AI;97;11
AI;98;21
AI;99;24
RandomAI;100;26
;;
AI wint;Ran wint;
98;2;
